text,philosopher,work,original_idx
"For that is necessary to produce a new idea of reflection, nor can the mind, by revolving over a thousand times all its ideas of sensation, ever extract from them any new original idea, unless nature has so framed its faculties, that it feels some new original impression arise from such a contemplation.",Hume,A Treatise Of Human Nature,96078
"The feeling of the sublime is, therefore, at once a feeling of displeasure, arising from the inadequacy of imagination in the aesthetic estimation of magnitude to attain to its estimation by reason, and a simultaneously awakened pleasure, arising from this very judgement of the inadequacy of the greatest faculty of sense being in accord with ideas of reason, so far as the effort to attain to these is for us a law.",Kant,Critique Of Judgement,250371
"Finally, it is certain that the soul cannot often prevent the operation of its machine, however it might resist, and that the soul can make it operate in a different way only when it has the power of vividly imagining another object whose open traces in the brain make the animal spirits take another course.",Malebranche,The Search After Truth,122719
"Yet in this latter case the transition of ideas is smoother from the proprietor to the small object, which is his property, and from the small object to the great one, than in the former case from the proprietor to the great object, and from the great one to the small.",Hume,A Treatise Of Human Nature,101326
"To try to understand more distinctly how a finite mind can perceive the infinite, let us imagine that the soul's capacity for perceiving it is, for example, of four degrees, and that the idea of its hand or of a foot of extension affects it so vividly with pain that the soul's entire capacity for thought is filled by it.",Malebranche,The Search After Truth,122236
"Wherever the nature of the process did not involve production on a large scale, the new industries that have sprung up in the last few decades, such as envelope making, steel pen making, andc., have, as a general rule, first passed through the handicraft stage, and then the manufacturing stage, as short phases of transition to the factory stage.",Marx,Capital,296031
"Thus, taking health as the end, there will be one thing that always possesses health, others that attain it, one by reducing flesh, another by running and thus reducing flesh, another by taking steps to enable himself to run, thus further increasing the number of movements, while another cannot attain health itself, but only running or reduction of flesh, so that one or other of these is for such a being the end.",Aristotle,Aristotle - Complete Works,48477
"The other case is, When a king makes himself the dependent of another, and subjects his kingdom which his ancestors left him, and the people put free into his hands, to thedominion of another: for however perhaps it may not be his intention to prejudice the people; yet because he has hereby lost the principal part of regal dignity, viz.",Locke,Second Treatise On Government,87885
"Having proceeded from the idea, self subsisting objectivity is therefore immediate being only as the predicate of the judgment of the concept's self determination a being that is indeed distinct from the subject but is at the same time essentially posited as a moment of the concept According to content, this objectivity is the totality of the concept a totality, however, that has the subjectivity of the concept, or its negative unity, standing over against it, and this subjectivity or negativity is what constitutes the true centrality, that is to say, the concept's free unity with itself.",Hegel,Science Of Logic,276056
"Now although the mode is as such abstract externality, indifference to qualitative as well as quantitative determinations, and nothing in the essence should depend on the external, the unessential, it is nevertheless conceded that in the many all depends on the how; but this is to concede that the mode itself essentially belongs to the substance of a thing, a very indefinite connection but one which at least implies that the externality of the mode is not all that abstract an externality after all.",Hegel,Science Of Logic,270315
"I say only some few of those properties; for those properties consisting mostly in the active and passive powers it has in reference to other things, all that are vulgarly known of any one body, of which the complex idea of that kind of things is usually made, are but a very few, in comparison of what a man that has several ways tried and examined it knows of that one sort of things; and all that the most expert man knows are but a few, in comparison of what are really in that body, and depend on its internal or essential constitution.",Locke,Essay Concerning Human Understanding,92017
"The expression of the value of commodity A in terms of any other commodity, merely distinguishes the value from the use value of, and therefore places A merely in a relation of exchange with a single different commodity, B; but it is still far from expressing A's qualitative equality, and quantitative proportionality, to all commodities.",Marx,Capital,289417
"For, although we are pleased to call what bees produce (their regularly constructed cells) a work of art, we only do so on the strength of an analogy with art; that is to say, as soon as we call to mind that no rational deliberation forms the basis of their labour, we say at once that it is a product of their nature (of instinct), and it is only to their creator that we ascribe it as art.",Kant,Critique Of Judgement,250883
"In the same way the causality of the original being may, in its relation to the things of the world, regarded as natural ends, quite properly be conceived on the analogy of an intelligence, regarded as the source of the forms of certain products that we call works of art.",Kant,Critique Of Judgement,252845
"The superior reason of such a procedure lies in the intention to draw consciousness off step by step from that mode of life which has been recognised as correct.e., proved after enormous and carefully examined experience), so that perfect automatism of the instincts may be attained, this being the only possible basis of all mastery of every kind of perfection in the Art of Life.",Nietzsche,Twilight Of The Idols,334510
"What distinguishes language from all other signs and enables it to play a decisive role in representation is, therefore, not so much that it is individual or collective, natural or arbitrary, but that it analyses representation according to a necessarily successive order: the sounds, in fact, can be articulated only one by one; language cannot represent thought, instantly, in its totality; it is bound to arrange it, part speaking by part, in a linear order.",Foucault,The Order Of Things,196518
"that the absolute stands on one side, and that knowledge on the othe side, for itself and cut off from the absolute, is still something real; in other words, that knowledge, which, by being outside the absolute, is certainly also outside truth, is nevertheless true a position which, while calling itself fear of error, makes itself known rather as fear of the truth.",Heidegger,Off The Beaten Track,242333
"Neither the idea of structure, which isolates the different spheres of objective signification with respect for their static originality, nor the idea of genesis, which effects abusive transitions from one region to another, appears adequate to clarify the problem which is already Husserl's, that is, the problem of the foundation of objectivity.",Derrida,Writing And Difference,203140
"Let us suppose that some man is being insulted, or that because he has an imagination that is strong and lively or that is aroused by some circumstance such as sickness or a reaction to grief and sadness, he is sitting at home imagining that someone (who is not even thinking about him) is ready and willing to cause him harm.",Malebranche,The Search After Truth,122687
"supponed by some sensation, and ifthe restlessness of the will did not unfailingly distract its application, we would not find great difficulties in an infinity of natural questions we now regard as insoluble and we would be able in but a little time to deliver ourselves from ignorance and errors in regard to these questions.",Malebranche,The Search After Truth,121490
"For in the case of all discoveries the results of previous labours that have been handed down from others have been advanced bit by bit by those who have taken them on, whereas the original discoveries generally make an advance that is small at first though much more useful than the development which later springs out of them.",Aristotle,Aristotle - Complete Works,44734
"To our assertion above that there is no world without an Existence that sustains its structure, it might have been retorted that the world nevertheless preceded man, that the earth, to all appearances, is the only inhabited planet, and that philosophical views are thus shown to be incompatible with the most firmly established facts.",Merleau-Ponty,The Phenomenology Of Perception,225639
"(Yet in some cases one might raise the question whether any chance fact might be the cause of the chance occurrence, eg of health the fresh air or the sun's heat may be the cause, but having had one's hair cut cannot; for some accidental causes are more relevant to the effect than others.)",Aristotle,Aristotle - Complete Works,45260
"The one thing needed to achieve scientific progress and it is essential to make an effort at gaining this quite simple insight into it is the recognition of the logical principle that negation is equally positive, or that what is self contradictory does not resolve itself into a nullity, into abstract nothingness, but essentially only into the negation of its particular content; or that such a negation is not just negation, but is the negation of the determined fact which is resolved, and is therefore determinate negation; that in the result there is therefore contained in essence that from which the result derives a tautology indeed, since the result would otherwise be something immediate and not a result.",Hegel,Science Of Logic,266694
"The only sort of trade that would cost nothing would be simple barter, since in that case the goods are wealth and have value only for the brief instant during which the exchange is made: 'If the exchange could be made immediately and without cost, it could be only the more advantageous to the two exchangers: it is therefore a grievous mistake to take for trade itself those intermediary operations that serve as the means of trade'.",Foucault,The Order Of Things,197967
"But, then, are we to think that a source of the possibility of organized beings amply sufficient to explain their origin without having recourse to a design, could never be found buried among the secrets even of nature, were we able to penetrate to the principle upon which it specifies its familiar universal laws?",Kant,Critique Of Judgement,252016
"What persons are as persisting unities, what characters they have, what makes up their life, what they do and suffer as persons, how they behave in different life situations in respect to their surrounding world, how they are personally affected by this world and how they react to it in a personal way; and finally their surrounding world itself, which exists for them, is valid for them, determines them.",Husserl,The Crisis Of The European Sciences And Phenomenology,230118
"Their peculiar qualitative antithesis thus becomes one of magnitude, and there arise laws of this kind, for example, that sensibility and irritability stand in an inverse ratio of their magnitude, so that as the one increases the other decreases; or better, taking directly the magnitude itself as the content as its smallness decreases.",Hegel,The Phenomenology Of Spirit,279392
"For a figure to be perceived, it must stand out from its background, and how the figure is perceived brings out the ground behind it in positive delineation; thus if one is determined to describe a particular case from a Freudian perspective, one will find the Freudian schema as the background behind it; but when a doctrine demands the multiplication of secondary explanations in an indefinite and arbitrary way, when observation uncovers as many anomalies as normal cases, it is better to give up the old frameworks.",Beauvoir,The Second Sex,344373
"which certainty every one finds to be so great, that he cannot imagine, and therefore not require a greater: for a man cannot conceive himself capable of a greater certainty than to know that any idea in his mind is such as he perceives it to be; and that two ideas, wherein he perceives a difference, are different and not precisely the same.",Locke,Essay Concerning Human Understanding,93647
"If, on the other hand, one begins with the universal concept, in order to descend to the particular by means of exhaustive division, the procedure is described as the specification of the manifold under a given concept, since one is moving here from the highest genus towards the lower one (subgenera or species) and from species to subordinate species.",Kant,Critique Of Judgement,253275
"As for that general guarantee which is supposed to lie in the Estates in particular, each of the other institutions within the state shares with them the quality of being a guarantee of public welfare and rational freedom; and in some of these institutions such as the sovereignty of the monarch, hereditary succession, the constitution of the courts, etc.",Hegel,Elements Of The Philosophy Of Right,288553
"Just as when we estimate the value of any commodity by a definite quantity of the use value of some other commodity, so in estimating the value of the former in gold, we assume nothing more than that the production of a given quantity of gold costs, at the given period, a given amount of labour.",Marx,Capital,290110
"Likewise, also, in the case of objects widely divergent, the examination of likeness is useful for purposes of definition, eg the sameness of a calm at sea, and windlessness in the air (each being a form of rest), and of a point on a line and the unit in number (each being a principle).",Aristotle,Aristotle - Complete Works,42296
"Yet such explanation can scarcely be omitted; for some community of nature is presupposed by the fact that the one acts and the other is acted upon, the one moves and the other is moved; but it is not the case that any two things are related to one another in these ways.",Aristotle,Aristotle - Complete Works,52516
"Nietzsche's last cry, as he proclaimed himself to be both Christ and Dionysus, is not at the limits of reason and unreason, the vanishing point of their œuvre, their common dream, reached at last and instantly evaporating, a reconciliation between 'the shepherds of Arcady and the fishermen of Tiberias'; but it is rather the destruction of the œuvre itself, the point at which it becomes impossible, and where it must begin to silence itself: the hammer falls from the philosopher's hand.",Foucault,History Of Madness,194575
"When, for example, we hear the sentence, 'Charles I's head was cut off', we may naturally enough think of Charles I, of Charles I's head, and of the operation of cutting off his head, which are all particulars; but we do not naturally dwell upon what is meant by the word 'head' or the word 'cut', which is a universal:",Russell,The Problems Of Philosophy,133934
"The former then, when it begins, blows immediately in our part of the world, whereas the beginning of the latter becomes dispersed owing to the long time it takes to travel, and little of its first breath reaches us; and we feel the end of the North wind, but that of the South wind not at all.",Aristotle,Aristotle - Complete Works,69315
"Five different events, unforeseen and unthought of, have very fortunately concurred to hinder Great Britain from feeling, so sensibly as it was generally expected she would, the total exclusion which has now taken place for more than a year (from the first of December from a very important branch of the colony trade, that of the twelve associated provinces of North America.",Smith,The Wealth Of Nations,314145
"On the other hand, those who are addicted to drinking, if they are not in a lean condition, often become dry from drinking a large quantity at a time; for both wine and life seem to be of the nature of hot things, whereas death is a process of cooling.",Aristotle,Aristotle - Complete Works,66466
"Hence, for one commodity owner to meet with another who has money, it is necessary, either, that the product of the labour of the latter person, the buyer, should be in itself money, should be gold, the material of which money consists, or that his product should already have changed its skin and have stripped off its original form of a useful object.",Marx,Capital,290272
"If, merely so that nothing empty is left in our reason, we a Object Bedeutung Principien are allowed to make good this lack of complete determination by means of a mere idea of the highest perfection and original necessity, then we could be permitted this only by special favor, but it cannot be demanded by the right of an irresistible proof.",Kant,Critique Of Pure Reason,259567
"With regard to those which draw one into repeating the same thing a number of times, it is clear that one must not grant that predications of relative terms have any meaning in abstraction by themselves, eg double apart from double of half, merely on the ground that it figures in it.",Aristotle,Aristotle - Complete Works,44663
"When, in Parliament withdrew from them this power, in order to confer it on the Factory Inspectors, to whose province it thus added by a single stroke more than one hundred thousand workshops, and three hundred brickworks, care was taken at the same time not to add more than eight assistants to their already undermanned staff.",Marx,Capital,296418
"As for Kant, who had been influenced by empiricist psychology: Hume had made him sensitive to the fact that between the pure truths of reason and metaphysical objectivity there remained a gulf of incomprehensibility, namely, as to how precisely these truths of reason could really guarantee the knowledge of things.",Husserl,The Crisis Of The European Sciences And Phenomenology,227264
"What I reproach the pitiful with is, that they are too ready to forget shame, reverence, and the delicacy of feeling which knows how to keep at a distance; they do not remember that this gushing pity stinks of the mob, and that it is next of kin to bad manners that pitiful hands may be thrust with results fatally destructive into a great destiny, into a lonely and wounded retirement, and into the privileges with which great guilt endows one.",Nietzsche,Ecce Homo,330802
"And if he should come to be compelled to put what he sees there into people's characters, whether into a single person or into a populace, instead of shaping only his own, do you think that he will be a poor craftsman of moderation, justice, and the whole of popular virtue?",Plato,Plato - Complete Works,25549
"Gold and silver having been chosen for the general medium of circulation, they are, by the competition of commerce, distributed in such proportions amongst the different countries of the world, as to accommodate themselves to the natural traffic which would take place if no such metals existed, and the trade between countries were purely a trade of barter.",Ricardo,On The Principles Of Political Economy And Taxation,319463
"For although they disagree about the number of faculties they attribute to the interior sense and to the understanding, and although there are many of them who doubt whether an agent intellect is needed in order to know sensible objects, still they practically all agree that external objects transmit species or images that resemble them, and with only this as their basis, they multiply their faculties and defend their agent intellect.",Malebranche,The Search After Truth,120535
"For what he means is that the large numbers or the large aggregates do not exist prior to a selective pressure that might elicit singular Ii nes from them, but that, quite on the contrary, these large numbers and aggregates are born of this selective pressure that crushes, eliminates, or regularizes the singularities.",Deleuze,Anti-Oedipus,217881
"If one postulates that somewhere there has to be a kind of equilibrium of prices, one is compelled to see in the manifest disequilibrium of the relations a pathological consequence, which one explains by saying that the supposedly closed system extends in one direction and opens as the prestations become wider and more complex.",Deleuze,Anti-Oedipus,214728
"The heart throb for the welfare of humanity therefore passes into the ravings of an insane self conceit, into the fury of consciousness to preserveitselffrom destruction; and it does this by expelling from itself the perversion which it is itself, and by striving to look on it and express it as something else.",Hegel,The Phenomenology Of Spirit,280223
For there is no necessary presumption that the shapes of the relevant portions of the aggregate supply functions for different types of industry are such that the ratio of the increment of employment in the one set of industries to the increment of demand which has stimulated it will be the same as in the other set of industries.,Keynes,"A General Theory Of Employment, Interest, And Money",322712
"We can see very well why the translator rendered 'plane' by 'raisonnablement'; in attempting to carry out this rationally necessary doubt, I expose myself to losing the qualification of 'raisonnable' that I brought into play from the very beginning of the meditations (and in at least three forms: having a mind that is sufficiently mature, having a mind that is free of cares and passions, and being sure of a peaceful retreat).",Foucault,History Of Madness,194962
"A recal citrant experience can, I have urged, be accommodated by any of vari ous alternative reevaluations in various alternative quarters of the total system; but, in the cases which we arc now imagining, our natural ten dency to disturb the total system as little as possihle would lead us to fo cus our revisions upon these specific statements concerning brick houses or centaurs.",Quine,Quintessence,159249
"In his work Sex, Life, and Faith, Rom Landau tells the following story, confided to him by the person herself: Mrs., a woman in the late forties, married for over twenty five years, mother of three grown up children, occupied a prominent position in the social and charitable activities of the town in which she lived.",Beauvoir,The Second Sex,354319
"It is experience in the usual sense which is thus called into question, sense experience and its correlate, the world itself, as that which has sense and being for us in and through this experience, just as it is constantly valid for us, with unquestioned certainty, as simply there vorhanden having such and such a content of particular real objects",Husserl,The Crisis Of The European Sciences And Phenomenology,227036
"The father of a family will not then weaken his constitution and debase his sentiments, by visiting the harlot, nor forget, in obeying the call of appetite, the purpose for which it was implanted; and the mother will not neglect her children to practise the arts of coquetry, when sense and modesty secure her the friendship of her husband.",Wollstonecraft,Vindication Of The Rights Of Woman,341064
"Had this cleavage not existed, the 'self acting armed organization of the population' might have differed from the primitive organization of a tribe of monkeys grasping sticks, or of primitive man, or of men united in a tribal form of society, by its complexity, its high technique, and so forth; but it would still have been possible.",Lenin,Essential Works Of Lenin,305695
"As was shown by an official medical inquiry in the year the high death rates are, apart from local causes, principally due to the employment of the mothers away from their homes, and to the neglect and maltreatment, consequent on her absence, such as, amongst others, insufficient nourishment, unsuitable food, and dosing with opiates; besides this, there arises an unnatural estrangement between mother and child, and as a consequence intentional starving and poisoning of the children.",Marx,Capital,295332
"A democratic republic is the best possible political shell for capitalism, and, therefore, once capital has gained control of this very best shell (through the Palchinskys, Chernovs, Tseretellis and Co.), it established its power so securely, so firmly, that no change, either of persons, of institutions, or of parties in the bourgeois democratic republic, can shake it.",Lenin,Essential Works Of Lenin,305733
"And thus the community perpetually retains a supreme power of saving themselves from the attempts and designs of any body, even of their legislators, whenever they shall be so foolish, or so wicked, as to lay and carry on designs against the liberties and properties of the subject: for no man or society of men, having a power to deliver up their preservation, or consequently the means of it, to the absolute will and arbitrarydominion of another; when ever any one shall go about to bring them into such a slavish condition, they will always have a right to preserve, what they have not a power to part with; and to rid themselves of those, who invade this fundamental, sacred, and unalterable law of self preservation, for which they entered into society.",Locke,Second Treatise On Government,87447
"upon their capital; and that whatever remained of their revenues and neat profits at home should be divided into four parts; three of them to be paid into the exchequer for the use of the public, and the fourth to be reserved as a fund, either for the further reduction of their bond debts, or for the discharge of other contingent exigencies which the company might labour under.",Smith,The Wealth Of Nations,315919
"So when a man has made a mistake and has thought he was being loved for his character, when the other person was doing nothing of the kind, he must blame himself; but when he has been deceived by the pretences of the other person, it is just that he should complain against his deceiver and with more justice than one does against people who counterfeit the currency, inasmuch as the wrongdoing is concerned with something more valuable.",Aristotle,Aristotle - Complete Works,76326
"Now we have no such extensive concern for society but from sympathy; and consequently it is that principle, which takes us so far out of ourselves, as to give us the same pleasure or uneasiness in the characters of others, as if they had a tendency to our own advantage or loss.",Hume,A Treatise Of Human Nature,102064
"But we have seen in this context that there were two major types of social investment, segregative and nomadic, just as there were two poles of delirium: first, a paranoiac fascisizing (fascisant) type or pole that invests the formation of central sovereignty; overinvests it by making it the final eternal cause for all the other social forms of history; counterinvests the enclaves or the periphery; and disinvests every free figure of desire",Deleuze,Anti-Oedipus,216761
"By then, Cheyne had long since recommended that people 'who needed to fortify their temperament' should install baths in their house, and use them every second, third or fourth day, and 'those that cannot afford such conveniency, as often as they can, to go into a river or living pond, to wash their bodies'.",Foucault,History Of Madness,191596
"It is sufficieot to be adjudged a libertine, in their minds, to deny that there are substantial forms, that animals feel pain and pleasure, and other philosophical views that they Mal branche believe to be true without evident reason, only because they imagine necessary connections between these opinions and the truths of the faith.",Malebranche,The Search After Truth,121547
"Finally, because men act only for interest, and this is whll causes even those who have disabused themselves and recognize the vanity of such studies, nevertheless to continue applying themselves to them; because honors, dignities, and even benefices are attached to them, and those who excel in such studies always have more of these than those who are unaware of them.",Malebranche,The Search After Truth,119093
"The appointment of a king is the resource of the better classes against the people, and he is elected by them out of their own number, because either he himself or his family excel in excellence and excellent actions; whereas a tyrant is chosen from the people to be their protector against the notables, and in order to prevent them from being injured.",Aristotle,Aristotle - Complete Works,81456
"There certainly is a possible world in which a man should have seen a certain star at a certain position in the evening and called it 'Hesperus' and a certain star in the morning and called it 'Phosphorus'; and should have concluded should have found out by empirical investigation that he names two different stars, or two different heavenly bodies.",Kripke,Naming And Necessity,172168
"In that case, the quantity supplied will be in the same proportion to the demand as before; the cost of production only will have increased, and yet the price will rise, and must rise, to place the profits of the producer of the enhanced commodity on a level with the profits derived from other trades.",Ricardo,On The Principles Of Political Economy And Taxation,321147
"One could do for Husserl what Foucault has done for Descartes: demonstrate how the neturalization of the factual world is a neutralization (in the sense in which to neutralize is also to master, to reduce, to leave free in a straitjacket) of nonmeaning, the most subtle form of an act of force.",Derrida,Writing And Difference,201021
"It may happen that the derided husband retains his primordial importance for the wife; just as the girl will sometimes take a lover to rebel against her mother or protest against her parents, disobey them, affirm herself, so a woman whose very resentment attaches her to her husband seeks a confidant in her lover, an observer who considers her a victim, an accomplice who helps her humiliate her husband; she talks to him endlessly about her husband under the pretext of subjecting him to his scorn; and if the lover does not play his role well, she moodily turns from him either to go back to her husband or to find another consoler.",Beauvoir,The Second Sex,353748
"In the first case I could say: There are always more members there, and empirically given, than I reach through the regress (of decomposition); but in the second case I can say only: I can always go still further in the regress, because no member is empirically given as absolutely unconditioned, and thus a higher member may be admitted as possible and hence the inquiry after it may be admitted as necessary.",Kant,Critique Of Pure Reason,258763
"Here statistical data about mortality are empirically ascertained; and upon the hypothesis that past trends will continue to be very nearly stable, or that they will not change much at least during the period immediately ahead an extrapolation to unknown cases is made from known cases, ie from occurrences which have been empirically classified, and counted.",Popper,The Logic Of Scientific Discovery,168355
"In this case, is something that absolutely ought to exist, apart from any relationship to me; whether or not I may perhaps experience ought to be a matter of utter indifference to me, just so long as it becomes actual and just so long as I may safely presuppose that it will at some point become actual.",Fichte,The System Of Ethics,264873
"My observations on national education are obviously hints; but I principally wish to enforce the necessity of educating the sexes together to perfect both, and of making children sleep at home, that they may learn to love home; yet to make private support instead of smothering public affections, they should be sent to school to mix with a number of equals, for only by the jostlings of equality",Wollstonecraft,Vindication Of The Rights Of Woman,343312
"Only, in the slave system, the advantage of a labour power above the average, and the disadvantage of a labour power below the average, affects the slave owner; in the wage labour system, it affects the labourer himself, because his labour power is, in the one case, sold by himself, in the other, by a third person.",Marx,Capital,297855
"Macaulay might have reported further that extremely welldisposed amfs du commerce in the th century, narrate with exultation how in a poorhouse in Holland a child of four was employed, and that this example of vertu se en praflque passes muster in all the humanitarian works, la Macaulay, to the time of Adam Smith.",Marx,Capital,293772
"eyeballs similarly situated, or who have them similarly situated but do not keep them fixed on the same point, both these have squints; they therefore scowl and screw up the eyes, for they try to fix one eyeball in the same position as the other; so they leave one eye alone and try to bring the other into position.",Aristotle,Aristotle - Complete Works,69787
"Where it happens that the genus is at the same time a species, it is clear that the motion will then in a sense be one specifically though not in an unqualified sense: learning is an example of this, knowledge being on the one hand a species of apprehension and on the other hand a genus including the various knowledges.",Aristotle,Aristotle - Complete Works,46409
"If you wonder whether it is in your self interest to save for your old age, you wonder whether the stages of that tiresome old gaffer you will become are related to you now to a significantly greater degree than are all the other person stages at this time or other times.",Lewis,Lewis - Papers,146622
"In motor aphasia, the list of words lost and preserved does not correspond to their objective characteristics (length or complexity), but to their value from the subject's point of view: the patient is unable to pronounce, in isolation, a letter or word within a familiar motor series, through being incapable of differentiating between the 'figure' and 'background' and freely conferring upon a certain word or letter the value of a figure.",Merleau-Ponty,The Phenomenology Of Perception,221821
"For asserting the first principles to be gods and born of gods, they say that the beings which did not taste of nectar and ambrosia became mortal; and clearly they are using words which are familiar to themselves, yet what they have said, even about the very application of these causes is above our comprehension.",Aristotle,Aristotle - Complete Works,71190
"Accordingly, we see that as regards purposz'veness, Enlightenment finds it foolish when the believer gives himself the superior consciousness of not being in bondage to natural enjoyment and pleasure by actually denying himself natural enjoyment and pleasure, and demonstrating by his actions that his contempt for them is no lie but is genuine.",Hegel,The Phenomenology Of Spirit,281889
"None the less, it will perhaps be agreed that if a man does wish to become master of an art or science he must go to the universal, and come to know it as well as possible; for, as we have said, it is with this that the sciences are concerned.",Aristotle,Aristotle - Complete Works,76748
"He remains the exclusive trustee of a science that is useful to the public even without their knowledge, namely the critique of reason; for the latter can never become popular, but also has no need of being so; for just as little as the people want to fill their heads with fine spun arguments for useful truths, so just as lit tle do the equally subtle objections against these truths ever enter their minds; on the contrary, because the school inevitably falls into both, as does everyone who raises himself to speculation, the critique of reason a What he knows no more than I, he alone wants to seem to know.",Kant,Critique Of Pure Reason,253821
"But it's also our aim in ruling our children, we don't allow them to be free until we establish a constitution in them, just as in a city, and by fostering their best part with our own equip them with a guardian and ruler similar to our own to take our place.",Plato,Plato - Complete Works,27105
"Again, the cause of this color is a coloring agent, a pigment which is one and the same actuality, once in the form of an agent external to it, that is, is externally linked to an agent different from it; but again in the determination, equally external to it, of an effect.",Hegel,Science Of Logic,273476
"But flows and codes of socius that do not portray anything, that merely designate zones of libidinal intensity on the body without organs, and that are emitted, captured, intercepted by the being that we are then determined to love, like a point sign, a singular point in the entire network of the intensive body that responds to History, that vibrates with it.",Deleuze,Anti-Oedipus,218032
"And to the extent that it is fitting for them to possess something that shares our name of 'immortal', something described as divine and ruling within those of them who always consent to follow after justice and after you, I shall begin by sowing that seed, and then hand it over to you.",Plato,Plato - Complete Works,28128
"Whereas symbolic writing, in attempting to spatialize representations themselves, obeys the confused law of similitudes, and causes language to slip out of the forms of reﬂective thought, alphabetical writing, by abandoning the attempt to draw the representation, transposes into its analysis of sounds the rules that are valid for reason itself.",Foucault,The Order Of Things,196925
"But I must not overlook, as does the psychology of data on a tablet of consciousness, that this tablet has consciousness of itself as a tablet, is in the world, and has consciousness of the world: I am continually conscious of individual things in the world, as things that interest me, move me, disturb me, etc.,",Husserl,The Crisis Of The European Sciences And Phenomenology,229144
"Those, then, who busy themselves in an exceptional degree with noble actions all men approve and praise; and if all were to strive towards what is noble and strain every nerve to do the noblest deeds, everything would be as it should be for the common good, and every one would secure for himself the goods that are greatest, since excellence is the greatest of goods.",Aristotle,Aristotle - Complete Works,76417
"It can here be added that that idealism proceeded from the ideating monad, which is determined as being for itself, only up to the repulsion just considered, and indeed, only up to plurality as such in which the ones are each only for itself, indifferent to the existence and the being for itself of the others, or in which, quite in general, the others are not for the one.",Hegel,Science Of Logic,268269
"For the law of rea son to seek unity is necessary, since without it we would have no reason, and without that, no coherentd use of the understanding, and, lacking that, no sufficient mark of empirical truth; thus in regard to the latter we simply have to presuppose the systematic unity of nature as objec tively valid and necessary.",Kant,Critique Of Pure Reason,259664
"The first of these was the Societe de Sante, founded on Germinal Year with Desgenettes, Lafisse, Bertrand Pelletier, and Leveille; in principle, it was intended to serve only as a free, neutral organ of information: rapid communication of observations and experiments, knowledge available to all those concerned with the art of healing, in short, a sort of great clinic on a national scale, which would do no more than observe and practise.",Foucault,The Birth Of The Clinic,185627
"if on the longest day the land were covered now with fruits, now with ice and snow, then my empirical imagination would never even get the opportunity to think of heavy cinnabar on the occasion of the representation of the color red; or if a certain word were attributed now to this thing, now to that, or if one and the same thing were sometimes called this, sometimes that, without the governance of a certain rule to which the appearances are already subjected in themselves, then no empirical synthesis of repro duction could take place.",Kant,Critique Of Pure Reason,255149
"That is why a phenomenon such as need can be understood in terms of 'lack', from the point of view of action and the active syntheses which it determines, but as an extreme 'satiety' or 'fatigue' from the point of view of the passive synthesis by which it is conditioned.",Deleuze,Difference And Repetition,207482
"If it is found that many children carry marks or traces of the idea that struck their mother, even though the skin fibers offer much more resistance to the flow of the spirits than do the soft parts of the brain and the spirits are much more agitated in the brain than nearer the skin, one cannot reasonably doubt that the animal spirits of the mother produce many traces of their irregular motions in the brain of their child.",Malebranche,The Search After Truth,118764
"but left it to his 'daeman' to know the petty con tingen con ten of wha he wanted to know whether it would be good for him to keep company with this or that persoll, or good for one of his acquaintances to go on a rney,anclsimiiar unimportant things; in the same way the universaLconsdousness,draws knowledge of the contingent from birds, or tr.ees, or the yeasty earth, the vapour from which deprives self consciousness of its self possession.",Hegel,The Phenomenology Of Spirit,283247
"Anyone who has watched, in recent years, the changes of incumbents of directorships and seats on the Boards of Directors of the big banks cannot fail to have noticed that power is gradually passing into the hands of men who consider the active intervention of the big banks in the general development of production to be indispensable and of increasing importance.",Lenin,Essential Works Of Lenin,304743
"Consequently, in speaking of a 'real people's revolution,' Marx, without in the least forgetting the peculiar characteristics of the petty bourgeoisie (he spoke a great deal about them and often), very carefully took into account the class relations that actually existed in the majority of continental countries in Europe in.",Lenin,Essential Works Of Lenin,306015
"Man, then, men in community, the communities themselves in their life and undertakings, are the scientific subject matter of humanistic science, in correlation with the human accomplishments themselves in accomplishing activity and the accomplished structures; but also passive man in the periods of his indolence, the temporarily sleeping and then awakening man, the whole man in the unity of his life as a personal life, as I,' as we in action and passion.",Husserl,The Crisis Of The European Sciences And Phenomenology,230039
"If God as the supersensory ground and as the goal of everything that is real is dead, if the superscnsory world of ideas is bereft of its binding and above a its inspiring and constructive power, then there is nothing left which man can rely on and by which he can orient himself.",Heidegger,Off The Beaten Track,244106
"For 'concave' has a general meaning which is the same in the case of a snub nose, and of a bandy leg, but when added, in the one case to nose, in the other to leg, nothing prevents it from meaning different things; for in the former connexion it means snub and in the latter bandy; and it makes no difference whether you say snub nose or concave nose.",Aristotle,Aristotle - Complete Works,44668
"If a proposition too is conceived as a picture of a possible state of affairs and is said to shew the possibility of the state of affairs, still the most that the proposition can do is what a painting or relief or film does: and so it can at any rate not set forth what is not the case.",Wittgenstein,Philosophical Investigations,141824
"Were they obliged to toil the year round, the whole six days in the week, in a repetition of the same work, might it not blunt their ingenuity, and render them stupid instead of alert and dexterous; and might not our workmen lose their reputation instead of maintaining it by such eternal slavery?.",Marx,Capital,293143
