text,philosopher,work,original_idx
But yet it seems to me to intimate several relations the mind gives to the several propositions or parts of them which it joins by this monosyllable.,Locke,Essay Concerning Human Understanding,93343
"But their form, too, once definitely settled by experience, petrifies, as is proved by their being in many cases handed down in the same form by one generation to another during thousands of years.",Marx,Capital,297317
A trace of what properly remains to be thought in the word usage is presumably to be found in To xpeoov.,Heidegger,Off The Beaten Track,247722
"In the year the same factories contained, looms spindles had a steam power of horses, and a water power of horses, and employed persons.",Marx,Capital,296863
"The prohibition of exporting gold and silver was, in France and England, confined to the coin of those respective countries.",Smith,The Wealth Of Nations,312991
"The spirits are therefore driven into the arms, legs, and face to provide the body with the disposition necessary for the passion, and to spread on the face the look of an injured man in relation to the circumstances of the injury and the worth or influence of the two men involved.",Malebranche,The Search After Truth,123162
For against an objector who sticks at nothing the defence should stick at nothing.,Aristotle,Aristotle - Complete Works,43433
"On the whole, the estate of landowners can be divided into the educated section and the estate of farmers.",Hegel,Elements Of The Philosophy Of Right,289548
"Then take the case of a man who knows these things, but is also considering something he is seeing or hearing; and see if he might judge falsely in this way.",Plato,Plato - Complete Works,4829
"I therefore have nothing absolutely but only comparatively internal, which itself in turn consists of outer relations.",Kant,Critique Of Pure Reason,257851
"Hence, there are now a plurality of things in themselves standing in the reciprocal reference of external reflection.",Hegel,Science Of Logic,273290
"Here neither the form nor materials are the same, nor is there any thing common to the two objects, but their relation to the inhabitants of the parish; and yet this alone is sufficient to make us denominate them the same.",Hume,A Treatise Of Human Nature,98924
"This law, therefore, necessarily obstructed the improvement of the land, and, instead of tending to render corn cheaper, must have tended to render it scarcer, and therefore dearer, than it would otherwise have been.",Smith,The Wealth Of Nations,314226
"already belongs to the later period, and if in the whole of A not white was becoming and white perishing, at it had become or perished.",Aristotle,Aristotle - Complete Works,47786
"I know of no others unless it is for the will to be attentive, which I have not discussed at all,.",Malebranche,The Search After Truth,124487
"It has ceased to be the pure indeterminate which remains below, but the forms also cease to be the coexisting or complementary determinations.",Deleuze,Difference And Repetition,207257
"Therefore with some the flatterer is more valued than the friend, for he procures the appearance of both love and superiority for the object of his flattery.",Aristotle,Aristotle - Complete Works,79441
"For the wet causes more residual matter to be formed in the bodies of the leaders, the fine weather in that of the bees, for being smaller in size they need the fine weather more than the kings do.",Aristotle,Aristotle - Complete Works,64113
"He undertook something rarer and that no other novelist, I think, has ever done: he projected himself into a female character.",Beauvoir,The Second Sex,349150
"Since, then, this distinction arises within that which is by nature divisible (that is, within external use), to retain one part of the use while alienating the other part is not to reserve a proprietorship without utility mile.",Hegel,Elements Of The Philosophy Of Right,286415
"It should be stated that Strawson's doctrine is somewhat ambiguous and that I have chosen a preferred interpretation, which I think Strawson also prefers today.",Kripke,Philosophical Troubles,175833
"Since and I disagree about which are the coextensive names, we will disagree also about which are the expressions that express identity, which sentences are identity premises, and which inferences are genuine instances of Leibniz's Law.",Lewis,Lewis - Papers,151824
"Hence a thing which has no opposite, or which is situated where it has no opposite, cannot be destroyed.",Aristotle,Aristotle - Complete Works,54683
"If the same characters belong to both things you should look and see which possesses them more markedly, ie which of the two is the more pleasant or more honourable or more expedient.",Aristotle,Aristotle - Complete Works,42947
"Hence, in his capacity as pseudo brother to his genetrix, he should be in the position of his maternal uncle, the designated husband of this woman.",Deleuze,Anti-Oedipus,215612
"One would like to say that these two kinds of use do not yield a single meaning; the union under one head is an accident, a mere inessential.",Wittgenstein,Philosophical Investigations,142563
"Gradually, at first unnoticed but growing more and more pressing, possibilities for a complete reorientation of view will make themselves felt, pointing to new dimensions.",Husserl,The Crisis Of The European Sciences And Phenomenology,227055
"They are the pillars on which public freedom rests, for it is within them that particular freedom is realized and rational; hence the union of freedom and necessity is present itselfwithin these institutions.",Hegel,Elements Of The Philosophy Of Right,288827
The tyrant is also fond of making war in order that his subjects may have something to do and be always in want of a leader.,Aristotle,Aristotle - Complete Works,81921
"He observes also that the Stoics derived a blasphemy from this principle, saying that evils must be endured with patience, or that they were necessary, not only to the well being and completeness of the universe, but also to the felicity, perfection and conservation of God, who directs it.",Leibniz,Theodicy,114073
"And the second kind's the one that turns away the second worst thing, the third kind the one against the third worst, and so on.",Plato,Plato - Complete Works,19656
"It is held by some persons (and Reid is among them) that we do know of the existence, not only of other persons, but also of the movements of matter in space.",Moore,Philosophical Studies,136105
"What, then, is to be done in order to engage in investigation in a way that is useful and appropriate to the sublimity of the object?.",Kant,Critique Of Practical Reason,250240
"This must, indeed, ultimately be the case if the conditions supposed above continue.",Marx,Capital,300202
"It has been settled, then, in what sense the embryo and the semen have soul, and in what sense they have not; they have it potentially but not actually.",Aristotle,Aristotle - Complete Works,63457
"Also, in money matters, giving less help than you might, or none at all, or accepting help from those worse off than yourself; so also borrowing when it will seem like begging; begging when it will seem like asking the return of a favour; asking such a return when it will seem like begging; praising a man in order that it may seem like begging; and going on begging in spite of failure: all such actions are tokens of meanness.",Aristotle,Aristotle - Complete Works,84251
"In respect to spatiotemporal shapes it had already blazed the trail, in two ways in fact.",Husserl,The Crisis Of The European Sciences And Phenomenology,227227
their particular activi ties which co operate to form the whole; and hence on the fact that the individual is content with the limitation of his existence and has not yet grasped the unrestricted thought of his free self.,Hegel,The Phenomenology Of Spirit,284082
"The directors of the bank, however, would probably be unwilling to agree to the imposition of a seignorage upon the authority of a speculation which promises them no gain, but only pretends to insure them from any loss.",Smith,The Wealth Of Nations,314531
"What man, before my time, had descended into the underground caverns from out of which the poisonous fumes of this ideal of this slandering of the world burst forth?.",Nietzsche,Ecce Homo,333156
"Or it may have two or more essentially different determinants at a given time, each sufficient by itself.",Lewis,Lewis - Papers,153479
"Propaedeutic introductions are the customary ones, which prepare the way for the proposed doctrine by drawing the preliminary knowledge that is requisite from other already existing doctrines or sciences in order to facilitate the transition in question.",Kant,Critique Of Judgement,254372
"least force, in so far as I withhold or withdraw from another person a property which belongs to him or a service which is due to him Pedagogical coercion, or coercion directed against savagery and barbarism.",Hegel,Elements Of The Philosophy Of Right,286702
I and my body are such that (without any duplication of either) they might not have been identical today.,Lewis,Lewis - Papers,146978
Perhaps an abstract proof might appear to be more plausible than those already given; I call it abstract because the more general it is the further is it removed from the appropriate principles.,Aristotle,Aristotle - Complete Works,63762
Even in the person who has an interest and loves them besides with a form of love other than that of his interest.,Deleuze,Anti-Oedipus,218701
"If man becomes a metaphysical or specifically philosophical problem, then he is in question as a rational being; if his history is in question, it is a matter of the meaning or reason in history.",Husserl,The Crisis Of The European Sciences And Phenomenology,226925
"The same holds as to the income of the labourer's family, as soon as the quantity of labour expended by the head of the family is increased by the labour of the members of his family.",Marx,Capital,298927
"If she simply does not want to be noticed, she must still conserve her femininity.",Beauvoir,The Second Sex,354596
"One that is disagreeable by his deformity or folly is the object of our aversion, though nothing be more certain, than that he has not the least intention of displeasing us by these qualities.",Hume,A Treatise Of Human Nature,99903
"And, therefore, that which of course determines the choice of our will to the next action will always be the removing of pain, as long as we have any left, as the first and necessary step towards happiness.",Locke,Essay Concerning Human Understanding,90884
"That is why, when we insisted earlier on the difference between desiring machines and all the figures of molar machines, we were fully aware that they were both contained in, and did not exist without, one another, but we had to stress the difference in regime and in scale between these two machinic species.",Deleuze,Anti-Oedipus,218340
"The duty to spread and to promote morality immediately So far we have seen that we have a duty to protect and to promote the formal freedom of our fellow human beings, for we are obliged to regard everyone with a human face as a tool of the moral law.",Fichte,The System Of Ethics,266521
"For constructive purposes, on the other hand, see if what is more is a property of what is more; for then also what is less will be a property of what is less, and least of least, and most of most, and without qualification of without qualification.",Aristotle,Aristotle - Complete Works,43546
"Unless the perceived thing has for good and ever implanted within us the ideal notion of a being which is what it is, there would be no phenomenon of being, and mathematical thought would appear to us as simply a creation.",Merleau-Ponty,The Phenomenology Of Perception,225677
We only wish to make it understood (with Narcissus Tuporylov) that all that which 'does not promise palpable results' is merely a 'hollow sound. '.,Lenin,Essential Works Of Lenin,304440
"When something is altered, its opposite (the opposite of its state) is actual at another time, and hence possible; hence this is not the contradictory opposite of its previous state, for which it would be required that at the very time when the previous state was, its opposite could have been there in place of it, which cannot at all be inferred from the alteration.",Kant,Critique Of Pure Reason,259283
So here is another tremendous advantage the Dorians enjoyed: the absence of resentment.,Plato,Plato - Complete Works,31142
"But, now, in the case of the mathematical estimation of magnitude imagination is quite competent to supply a measure equal to the requirements of any object.",Kant,Critique Of Judgement,251203
"Just as theoretical philosophy has to present that system of necessary thinking according to which our representations correspond to a being, so practical philosophy has to provide an exhaustive presentation of that system of necessary thinking according to which a being corresponds to and follows from our representations.",Fichte,The System Of Ethics,261952
function and norm are not psychological concepts exclusively; conﬂict and rule do not have an application limited wholly to the sociologicaldomain; signification and system are not valid solely for phenomena more or less akin to language.,Foucault,The Order Of Things,200414
"Slowly, and in a still disparate style, the eighteenth century put in place a whole new order of concepts around this consciousness of madness and its menacing increase.",Foucault,History Of Madness,193038
"They look at the good side rather than the bad, not having yet witnessed many instances of wickedness.",Aristotle,Aristotle - Complete Works,84441
"In ophthalmia is contagion due to the fact that the eye is very easily affected and more than the other senses assimilates itself to that which it sees for example, it moves when it sees something else moved.",Aristotle,Aristotle - Complete Works,67318
"But the movement is also due to the original creative force and to that which removes the hindrance or off which the moving thing rebounded, as was explained in our opening discussions, where we tried to show how none of these things moves itself.",Aristotle,Aristotle - Complete Works,49478
"They will not speak well of them that are at the same time with them, and live with them; yet they themselves are very ambitious, that they that shall follow, whom they have never seen, nor shall ever see, should speak well of them.",Marcus Aurelius,Meditations,327178
"Broussais is merely the point of convergence of all these structures, the individually shaped form of their over all configuration.",Foucault,The Birth Of The Clinic,187763
"This belief is a subsequent result of psychological reflection, which presupposes the belief in the law of contradiction.",Russell,The Problems Of Philosophy,134366
There cannot be a deduction to a necessary negative; for 'not necessarily to belong' is different from 'necessarily not to belong'.,Aristotle,Aristotle - Complete Works,39737
"For of these, if I shall always be mindful, first as I am a part, I shall never be displeased with anything, that falls to my particular share of the common chances of the world.",Marcus Aurelius,Meditations,328106
"It would he untrue, no doubt, to see late eighteenth century clinical medicine a mere return to the purity of a gaze long burdened with false knowledge.",Foucault,The Birth Of The Clinic,186535
"Because this self recognition is a natural and not an ethical one, it is only a representation, an image of Spirit, not actually Spirit itself.",Hegel,The Phenomenology Of Spirit,281795
"And for every single one of these we may claim that it would be extremely improbable that the twenty observations should lie just on this curve, unless it represented the true law.",Popper,The Logic Of Scientific Discovery,168477
"In the progressive development of consciousness, however, by means of a synthesis, what is subjective also appears as free and determining, inasmuch as it appears as engaged in abstracting.",Fichte,The System Of Ethics,262010
"Clearly, we are justified in changing premise to allow that a student knows from the beginning that an exam will be given on one of the first days.",Kripke,Philosophical Troubles,174506
"It was a tremendous achievement, on the part of our long term culture and our latter day scientists, to develop a theory that leads from obser vation to predicted ohservation as successfully as ours.",Quine,Quintessence,164571
"while of the involuntary some are clandestine, such as theft, adultery, poisoning, procuring, enticement of slaves, assassination, false witness, and others are violent, such as assault, imprisonment, murder, robbery with violence, mutilation, abuse, insult.",Aristotle,Aristotle - Complete Works,75700
"it is not in the interests of the movement that the workers of any one country should march at its head but they will occupy an honorable place in the battle line, and they will stand armed for battle when either unexpectedly grave trials or momentous events demand heightened courage, heightened determination and power to act. '.",Lenin,Essential Works Of Lenin,304091
"Or for heaven's sake, without noticing have we stumbled on the knowledge that free people have?.",Plato,Plato - Complete Works,6226
"Besides the destructive influence or night labour on the human organism, stress is also laid upon the fatal influence of the association of the two sexes by night in the same badly lighted workshops.",Marx,Capital,294909
"This and the other advantages which these metals possess, such as their hardness, their malleability, their divisibility, and many more, have justly secured the preference every where given to them, as a standard for the money of civilized countries.",Ricardo,On The Principles Of Political Economy And Taxation,320031
When it has entered the uterus it puts into form the corresponding residue of the female and moves it with the same movement.,Aristotle,Aristotle - Complete Works,63459
"The reply to such a claim is as follows: this is a matter that simply does not concern us at all, and we are by no means permitted to think in this manner.",Fichte,The System Of Ethics,265983
"It reaches, therefore, in that year, the time for its periodical reproduction, for its replacement by new ones of the same kind.",Marx,Capital,299914
"Yes, by Zeus, Phaedo, and they were right; I think he made these things wonderfully clear to anyone of even small intelligence.",Plato,Plato - Complete Works,1877
"We are only asking what is right in requesting the masters generally to pursue a system of short hours, particularly until a better state of things begins to dawn upon us, rather than to work a portion of the hands over time, while others, for want of work, are compelled to exist upon charity.",Marx,Capital,301584
the inner was supposed to possess in its own self would be nothing else but the negative movement.,Hegel,The Phenomenology Of Spirit,279200
"Any trade union secretary, an English one for instance, helps the workers to conduct the economic struggle, helps to expose factory abuses, explains the injustice of the laws and of measures which hamper the freedom to strike and the freedom to picket (i. e. , to warn all and sundry that a strike is proceeding at a certain factory), explains the partiality of arbitration court judges who belong to the bourgeois classes, etc. , etc.",Lenin,Essential Works Of Lenin,304601
"Similarly, while in the general division of the powers of the mind in general both the cognitive faculties and the faculty of desire contain an objective relation to representations, the feeling of pleasure and displeasure, by contrast, is merely a receptivity with respect to a state of the subject; thus if the power of judgement is to determine anything on its own part, this could only be the feeling of pleasure, and conversely, if the latter is to possess an a priori principle at all, this will only be found in the power of judgement.",Kant,Critique Of Judgement,254077
"they cannot be representative of any, not even lhe being of which they are modes: for although we have an inner sensation of our existence and of our actual modes, we do not know them at all.",Malebranche,The Search After Truth,122637
"For, through not having gone back to the experience of movement independently of any preconceived notion about the world, the logician is talking only about movement in itself, and expressing the problem of movement in terms of being, which makes it insoluble in the last resort.",Merleau-Ponty,The Phenomenology Of Perception,223799
It is an indication that this is not so if the womb is seen to open and close properly during menstruation and sexual intercourse.,Aristotle,Aristotle - Complete Works,60004
Is it not possible that this difficulty I have in breaking off the tiniest piece of iron comes from my weakness and not from the resistance of this iron?.,Malebranche,The Search After Truth,125923
"The situation is thus as follows: if one constantly reflects upon the demand of the law, if this demand always remains before one's eyes, then it is impossible not to act in accordance with this demand or to resist it.",Fichte,The System Of Ethics,264660
"If medicine could be politically more effective, it would no longer be indispensable medically.",Foucault,The Birth Of The Clinic,185831
"The appearance of Rabochaya Mysl brought Economism to the light of day, but not all at once.",Lenin,Essential Works Of Lenin,304163
"When we say, then, that a man acquiesces in what is false, and that he has no doubts on the subject.",Spinoza,Ethics,108171
"Others focused their remarks on working women, education, children and club life.",Davis,"Women, Race, And Class",359531
"Well, Socrates, if I answer what seems true in relation to the present question, I shall say 'No, it is not possible'; but if I consider it in relation to the question that went before, then in order to avoid contradicting myself, I say 'Yes, it is. '.",Plato,Plato - Complete Works,3896
"It is surely clear that he would not have taught his boys what it costs money to teach, but have failed to teach them what costs nothing making them good men if that could be taught?.",Plato,Plato - Complete Works,20573
"The success of Kant is merely a theological success; he was, like Luther and Leibnitz, but one more impediment to German integrity, already far from steady.",Nietzsche,The Antichrist,328739
The other guideline for the determination of the being and essence of human being is a theological one: kai eipen ho theos.,Heidegger,Being And Time,233457
"But if the guardians of our laws and city are merely believed to be guardians but are not, you surely see that they'll destroy the city utterly, just as they alone have the opportunity to govern it well and make it happy.",Plato,Plato - Complete Works,24373
"Similarly, if we schematize the conception I am proposing here, it could almost be said that the function of notions like mana is to be opposed to the absence of signification, without entailing by itself any particular signification.",Derrida,Writing And Difference,206490
"Let any one examine his own thoughts, and thoroughly search into his understanding; and then let him tell me, whether all the original ideas he has there, are any other than of the objects of his senses, or of the operations of his mind, considered as objects of his reflection.",Locke,Essay Concerning Human Understanding,89184
Now it might appear that the transition from the concept into objectivity is quite another thing than the transition from the concept of God to God's existence.,Hegel,Science Of Logic,276258
Between man and woman love is an act; each one torn from self becomes other: what delights the woman in love is that the passive listlessness of her flesh is reflected in the man's ardor; but the narcissistic woman is clearly baffled by the charms of the erect sex.,Beauvoir,The Second Sex,352077
"upper middle class was years, while the average age at death of the labouring class was while at Liverpool those figures were represented as against.",Marx,Capital,300530
"With this lesson in mind, the idea of bringing the good into existence by means of the sacrifice of individuality is abandoned; for individuality is precisely the actualizing of what exists only in principle and the perversion ceases to be regarded as a perversion of the good, for it is in fact really the conversion of the good; as a mere End, into an actual existence: the movement of individuality is the reality of the universal.",Hegel,The Phenomenology Of Spirit,281259
Real income measured in terms of product and income measured in terms of wage units.,Keynes,"A General Theory Of Employment, Interest, And Money",323739
"In saying this I philosophize from the vantage point only of our own provincial conceptual scheme and sci entific epoch, true; but I know no better.",Quine,Quintessence,160898
"But the greatest danger would be yet another dispersion, a scission such that all the possibilities of coding would be suppressed: decoded flows, flowing on a blind, mute, deterritorialized socius such is the nightmare that the primitive social machine exorcises with all its forces and all its segmentary articulations.",Deleuze,Anti-Oedipus,215537
"Therefore chaos or night did not exist for any infinite time, but the same things have always existed (either passing through a cycle of changes or in some other way), since actuality is prior to potentiality.",Aristotle,Aristotle - Complete Works,73899
"Thus, to know God is to know the truth or to know things according to the truth, and to love God is to love virtue or to love things to the extent to which they are worthy of love, or according to the rules of virtue.",Malebranche,The Search After Truth,123383
"Let us imagine, further, that each event is represented by one of the radii (or more precisely, by a very narrow area or a very narrow sector along one of the radii) and that any two occurrences involving the same co ordinates (or individuals) are located at the same distance from the centre, and thus on the same concentric circle.",Popper,The Logic Of Scientific Discovery,167575
"At Delphi, again, a quarrel about a marriage was the beginning of all the troubles which followed.",Aristotle,Aristotle - Complete Works,81630
"In terms of the categories of traditional grammar, this amounts roughly to saying that to be is to be in the range of of a pronoun.",Quine,Quintessence,162339
"Monopoly is exactly the opposite of free competition; but we have seen the latter being transformed into monopoly before our very eyes, creating large scale industry and eliminating small industry, replacing large scale industry by still larger scale industry, finally leading to such a concentration of production and capital that monopoly has been and is the result: cartels, syndicates and trusts, and merging with them, the capital of a dozen or so banks manipulating thousands of millions.",Lenin,Essential Works Of Lenin,306217
"ldual phenomena of the atom, beyond the mass effects that appear in the internal mec,hamcal clre. mts of he organism as well as in the external technical activities:.",Deleuze,Anti-Oedipus,217652
"Furthermore, if wages were to be fixed in terms of some other commodity, eg wheat, it is improbable that they would continue to be sticky.",Keynes,"A General Theory Of Employment, Interest, And Money",324756
"It follows from the preceding remark, however, that every arbitrary end is at the same time an original one; or, to put it more clearly.",Fichte,The System Of Ethics,264944
"however everlasting number or anything else that has matter is, it must be capable of not existing, just like anything which is a single day or any number of years old; if this is capable of not existing, so is that which has lasted for a time so long that it has no limit.",Aristotle,Aristotle - Complete Works,74482
"Again, the brain cannot be the cause of any of the sensations, seeing that it is itself as utterly without feeling as any one of the excretions.",Aristotle,Aristotle - Complete Works,60743
"Philebus says that pleasure is the right aim for all living beings and that all should try to strive for it, that it is at the same time the good for all things, so that good and pleasant are but two names that really belong to what is by nature one and the same.",Plato,Plato - Complete Works,9813
Hence the effect of changes in the quantity of money on the price level can be considered as being compounded of the effect on the wage unit and the effect on employment.,Keynes,"A General Theory Of Employment, Interest, And Money",325280
"What it realizes is itself the law, and its pleasure is therefore atthe sam'e time the universal pleasure of all hearts.",Hegel,The Phenomenology Of Spirit,281084
speculation or the practical rules of prudence based upon the principle of self love.,Kant,Critique Of Judgement,253776
"Finally, I should say again that we are talking only about realizations that make Ttrue under a fixed interpretation of all of its vocabulary.",Lewis,Lewis - Papers,147872
"Since this mode of efficiency is as such an external activity restricted to a single determinateness according to content, the determinations that it posits come associated together externally and accidentally; taken one by one, the determinations are comprehended through their causes; but their connection, which constitutes what is essential in a concrete existence, is not to be found in mechanical causes.",Hegel,Science Of Logic,272719
"it indicated a reappearance of madness in thedomain of language, a language where madness was permitted to speak in the first person, uttering in the midst of the empty verbiage and the insane grammar of its paradoxes something that bore an essential relation to the truth.",Foucault,History Of Madness,195024
"But he who is tipsy uses his judgement, but, owing to the wine which he has drunk, he uses it amiss, and so is troublesome in his cups.",Aristotle,Aristotle - Complete Works,66853
"The four functions that define the verbal sign in its particular properties, and distinguish it from all other signs that representation can provide for itself, are thus to be found in the theoretical signalization of natural history and in the practical utilization of monetary signs.",Foucault,The Order Of Things,198801
"It is only by being exchanged that the products of labour acquire, as values, one uniform social status, distinct from their varied forms of existence as objects of utility.",Marx,Capital,290528
"Still, as we have said, it is possible to construct alteration and coming to be with them, if one transposes the same by 'turning' and 'intercontact', and by the varieties of the figures, as Democritus does.",Aristotle,Aristotle - Complete Works,49656
"In each case we look at the nature it's got, its manufacture, its condition; then we call what is useful 'fine' in respect of the way it is useful, what it is useful for, and when it is useful; but anything useless in all those respects we call 'foul. '.",Plato,Plato - Complete Works,21142
"Why, however, must this setting forth of earth happen in such a way that the work sets itself back into it?.",Heidegger,Off The Beaten Track,241690
"But there will be a probabilistic counterfactual as well: if there were that scene, there would be so and so chance of that matching experience, and maybe also some chance of various other experiences.",Lewis,Lewis - Papers,157941
"Therefore to bring all things thus to Forms and to eliminate the matter is useless labour; for some things surely are a particular form in a particular matter, or particular things in a particular state.",Aristotle,Aristotle - Complete Works,72674
"This kind of examination becomes at last too much even for the chairman of the committee, and he interrupts with the observation:.",Marx,Capital,297591
"Furthermore, the great majority of animals have other parts besides these in common, whereby they discharge the residuum of their food.",Aristotle,Aristotle - Complete Works,55428
"To make use of the Mystic Pad, one writes upon the celluloid portion of the covering sheet which rests upon the wax slab.",Derrida,Writing And Difference,205168
"Well then, now that I've got all that off my chest, your next job will be to appoint officials for the state.",Plato,Plato - Complete Works,32234
"Inquiries, for instance, into the immateriality of the soul, into mechanical and final causes where is interest in them still to be found?.",Hegel,Science Of Logic,267240
"This, however, is a distinction that is still only nominal; the unessential, which is nOne the less supposed to be necessary, cancels itself out.",Hegel,The Phenomenology Of Spirit,279045
"Measure is the simple self reference of quantum, its own determinateness in itself; quantum is thus qualitative.",Hegel,Science Of Logic,271264
This can be illustrated by the fact that chorus men and actors practise not after a meal but on an empty stomach.,Aristotle,Aristotle - Complete Works,68031
This argument cannot be reduced; but the proof that there is not a single faculty can.,Aristotle,Aristotle - Complete Works,40289
"with a constant force toward Himself; for He urges us toward the good in general to the extent that we are capable of it, and we are at all times equally capable of it because our will, or natural capacity for willing, is always equal to itself.",Malebranche,The Search After Truth,126408
"Other uneasinesses arise from our desires of absent good; which desires always bear proportion to, and depend on, the judgment we make, and the relish we have of any absent good; in both which we are apt to be variously misled, and that by our own fault.",Locke,Essay Concerning Human Understanding,91029
"Since things are said to be, without qualification, in several ways, of which one is being by accident, we must consider first that which is in this sense.",Aristotle,Aristotle - Complete Works,73610
Actually I was familiar with relatively little of this literature when I began work on the approach given here.,Kripke,Philosophical Troubles,175805
"For in one whose voice is in this state, since most of the heat collects within as a result of the above conditions, the rest, which is small in quantity, cannot control the voice; consequently it shakes and trembles.",Aristotle,Aristotle - Complete Works,68104
"It is now, in the living present that the synthesis has to be effected, otherwise thought would be cut off from its transcendental premises.",Merleau-Ponty,The Phenomenology Of Perception,221455
"the idea of this modification, in so far as it involves the property, will be adequate in God, in so far as God is affected by the idea of the human body; that is.",Spinoza,Ethics,108006
"Since affirmative demonstration is better than negative, it is clear that it is also better than demonstration leading to the impossible.",Aristotle,Aristotle - Complete Works,41785
"On the other hand, when we express the relations found among material things in such a way that there is no necessary link between these things and the traces of their expressions, it is much more difficult to understand them, and one easily forgets them.",Malebranche,The Search After Truth,118980
"This representation of the body, this magical experience, which he approached in a detached frame of mind, was himself; he lived it while he thought about it.",Merleau-Ponty,The Phenomenology Of Perception,220896
"But besides reason we also have experience, for as soon as someone merely resolves to scom everything in favor of God, he is ordinarily moved by a pleasure or inner joy that makes him sense that God is his good as clearly as he knows it.",Malebranche,The Search After Truth,123361
"This can be felt quite plainly by putting the finger on one of the insects, for instance, known as dung beetles.",Aristotle,Aristotle - Complete Works,61765
Ces sp culateurs si conomes du travail des ouvriers qu'il faudrait qu'ils payassent.,Marx,Capital,295228
"is easy to observe, that the passions, both direct and indirect, are founded on pain and pleasure, and that in order to produce an affection of any kind, it is only requisite to present some good or evil.",Hume,A Treatise Of Human Nature,100914
"of expressions all of which, under ordinary usage, are true statements in volving onlv.",Quine,Quintessence,159174
"The trade, however, would in this case, as in the foregoing, give some revenue to the inhabitants of both countries, but more to those of France than to those of England.",Smith,The Wealth Of Nations,313727
"Tell me once more from the beginning, what do you mean by the better, seeing that it's not the stronger?.",Plato,Plato - Complete Works,19154
"Even when they were compelled to convene their schools during the late hours of the night, women who had managed to acquire some knowledge attempted to share it with their people.",Davis,"Women, Race, And Class",359022
"The first impulse, therefore, is here broke into pieces, and diffuses itself over all those images, of which each partakes an equal share of that force and vivacity, that is derived from the impulse.",Hume,A Treatise Of Human Nature,97576
"Foreign corn never enters into competition with such home corn as affords a rent; the fall of price invariably affects the landlord till the whole of his rent is absorbed; if it fall still more, the price will not afford even the common profits of stock; capital will then quit the land for some other employment, and the corn, which was before grown upon it, will then, and not till then, be imported.",Ricardo,On The Principles Of Political Economy And Taxation,322663
"When Agamemnon, in Homer, offers to Achilles, for his friendship, the sovereignty of seven Greek cities, the sole advantage which he mentions as likely to be derived from it was, that the people would honour him with presents.",Smith,The Wealth Of Nations,316506
"Husserl accuses Kant's philosophy of being 'worldly', because it makes use of our relation to the world, which is the motive force of the transcendental deduction, and makes the world immanent in the subject, instead of being filled with wonder at it and conceiving the subject as a process of transcendence towards the world.",Merleau-Ponty,The Phenomenology Of Perception,219334
"the fort of Senegal, with all its dependencies, had been invested in the company of merchants trading to Africa, yet, in the year following (by the th of George. , not only Senegal and its dependencies, but the whole coast, from the port of Sallee, in South Barbary, to Cape Rouge, was exempted from the jurisdiction of that company, was vested in the crown, and the trade to it declared free to all his majesty's subjects.",Smith,The Wealth Of Nations,316770
"But this determinateness that the 'I' makes its own, sublating its externality, is to the 'I' at the same time an immediate determinateness, a limitation of the 'I' which the latter may transcend but which contains a side of indifference, and on account of this indifference, although internal to the 'I,' it entails an immediate non being of it.",Hegel,Science Of Logic,271966
"It is only in the treatise itself that the characteristic feature which allows us to specify this difference can be identified, namely the claim of the judgement to universal validity and necessity.",Kant,Critique Of Judgement,254220
"So, then, one who makes virtuous profit doesn't profit more than one who makes the wicked sort.",Plato,Plato - Complete Works,13801
"Another is to show that if the cause is present, the effect is present, and if absent, absent.",Aristotle,Aristotle - Complete Works,84851
"The rainbow is seen by day, and it was formerly thought that it never appeared by night as a moon rainbow.",Aristotle,Aristotle - Complete Works,51776
"Summer with its heat and winter with its frost cause calm: winter is too cold, summer too dry for winds to form.",Aristotle,Aristotle - Complete Works,51598
"Inasmuch, however, as such hardness must necessarily blunt the sharpness of vision, nature has endowed the eyes of Insects, and still more those of Crustacea, with mobility (just as she has given some quadrupeds movable ears), in order that they may be able to turn to the light and catch its rays, and so see more plainly.",Aristotle,Aristotle - Complete Works,60812
"Then he will not have this against us, at any rate, that we turned the criticism of his philosophy into sport with boys.",Plato,Plato - Complete Works,4256
he will have a demand for more commodities; and it will be an effectual demand while he has any new value to offer in exchange for them.,Ricardo,On The Principles Of Political Economy And Taxation,321783
"Nobody is so constituted as to be able to live everywhere and anywhere; and he who has great duties to perform, which lay claim to all his strength, has, in this respect, a very limited choice.",Nietzsche,Ecce Homo,332052
"Yet there are opinions on other matters in this work by this learned writer which to me do not appear probable, especially when he excludes the Germani from the number of the Celts, not having recalled sufficiently the facts given by ancient writers and not being sufficiently aware of the relation between the ancient Gallic and Germanic tongues.",Leibniz,Theodicy,113234
"Artaud's œuvre experiences in madness its own absence, but the ordeal, and the eternally recommenced courage of this ordeal, all those words hurled at a fundamental absence of language, that whole space of physical suffering and terror that surrounds the void or rather coincides with it, that is the œuvre itself a cliff face over the abyss of the œuvres absence.",Foucault,History Of Madness,195292
"Some time later he asked to return among the insane, and as he showed no signs of violence the request was granted.",Foucault,History Of Madness,194131
"(as if anyone did not know these things), are didactically presented, narrated and affirmed, rather than demonstrated.",Hegel,Science Of Logic,267426
"Plainly, therefore, Professor James is intending to tell us of a property which belongs both to all true ideas and only to true ideas.",Moore,Philosophical Studies,136576
